#Name,#Type,#Address,#Size,#Mask,#Values,,,
TX_NUM,integer,0x000E,1,,,,,
RX_NUM,integer,0x000F,1,,,,,
SENSOR_ASSIGNMENT,string,0x0011,1,0x1,0:RX = X; TX = Y,1:RX = Y; TX = X,,
BL_H20_RJCT,string,0x0013,1,0x1,0:Disabed,1:Enabled,,
BUTTON_NUM,integer,0x0017,1,,,,,
SCANNING_MODE_BUTTON,string,0x001B,1,0x3,1:Self Capacitance,2:Mutual Capacitance,3:Hybrid,
RXDAC,integer,0x002C,4,0xF0000,,,,
REF_SCALE,integer,0x002C,4,0x700000,,,,
GIDAC_MULT,integer,0x0038,4,0x3000,1:01,2:02,,
SCALING_FACTOR_MUTUAL,integer,0x0042,2,,,,,
SCALING_FACTOR_SELF,integer,0x0044,2,,,,,
SCALING_FACTOR_BUTTON_MUTUAL,integer,0x0046,2,,,,,
SCALING_FACTOR_BUTTON_SELF,integer,0x0048,2,,,,,
TX_PUMP_VOLTAGE,float,0x004C,1,0x3,00:04.3,01:04.6,02:05.0,03:05.5
VDDA_MODE,string,0x0052,1,0x1,0:Pump Mode,1:Bypass Mode,,
MTX_ORDER,integer,0x0054,1,,,,,
BALANCING_TARGET_MUTUAL,integer,0x006A,1,,,,,
BALANCING_TARGET_SELF,integer,0x006B,1,,,,,
BALANCING_TARGET_BUTTON_MUTUAL,integer,0x006C,1,,,,,
BALANCING_TARGET_BUTTON_SELF,integer,0x006D,1,,,,,
TX_PERIOD_MUTUAL,integer,0x008A,2,,,,,
TX_PERIOD_SELF,integer,0x00A6,2,,,,,
TX_PERIOD_BTN_MUTUAL,integer,0x00AA,2,,,,,
TX_PERIOD_BTN_SELF,integer,0x00AE,2,,,,,
ACT_LFT_EN,string,0x02E4,1,0x1,0:Disabled,1:Enabled,,
